record_id,title,genre
record_doodgCsS,Dark military cause,Metal
record_9zcnehpv,From look without,Funk
record_MRsu4RVF,Full actually thus,Hip-Hop
record_zu_CN_4L,Agency billion,Indie
record_wV5ZOe9t,Plant son lead,R&B
record_MEP0ljgA,Throw possible society,Classical
record_a-CjbX-x,Wrong beat,Folk
record_At7OJdWm,Economy human sometimes,Techno
record_TSGRlzO7,Put bill during,Techno
record_w31xTScQ,Whose raise second,Rock
record_uKsOFpIn,Appear,Hip-Hop
record_sOO35K0C,Drive interview door suggest,Blues
record_hXPADKt2,Town class town,Electronic
record_tCv1iiLz,Accept,Classical
record_k71DZ1Ww,He book article,Funk
record_mvajb3-4,Attention media,Pop
record_vD7ndJMG,Reason mission answer,Soul
record_trbuuglr,Next early she,Hip-Hop
record_w7j2Czl-,Next,R&B
record_zojaALu_,Pm politics,Funk
record__teqskSD,Hospital nearly staff,Metal
record_Y2bXOjuN,Congress organization,Latin
record_9XTP1Edj,Responsibility bill each push,Punk
record_UjTCwjyA,Affect year two,Pop
record_-RRKmsds,Medical them,R&B
record_55860f_2,Return war,R&B
record_hDTW-1wP,International dinner color,Metal
record_uSndrd8g,End serve,Jazz
record_ecQQytdX,Someone turn red,Folk
record_M7RwQ-J4,Approach side bit,Disco
record_ExjfsiJh,All piece,Reggae
record_fJwunXEf,Yourself medical age,Punk
record_i7cACmX4,Already anything,Gospel
record_G2r83W50,Left huge,Folk
record_K4xMvWNS,The here care,Punk
record_MEwx_1SV,General job heavy,Country
record_27m2ZOXu,Born friend,Country
record_V1DxL9Sq,Soldier couple,Techno
record_n-StEcyp,Which task community,Country
record_vA1pb3qy,Really woman him,Punk
record_xLz4OUsd,Police whose goal,Funk
record_KYkmcof5,Marriage spring speech,Country
record_l_Ph_5gA,Wonder may,Hip-Hop
record_ffeLJn0d,Professional than,Techno
record_KAeTvTdS,Important military,Punk
record_fVCMXf3H,Book young,R&B
record_S7iYtgFs,Quickly,Punk
record_h_LFOFp5,East history there particularly,Latin
record_AM1v8-OG,Behavior social catch prove,Latin
record_A6RbDjoa,Ask he,Rock
record_fy_hGj7Q,Either act language,R&B
record_DSocKZeZ,Personal policy,Folk
record_NfRQQaxl,System TV,Punk
record_uvdJJP-J,According,Techno
record_asmMUIot,Candidate prove,Rock
record_uQyCTN7j,Apply decision rich,Soul
record_lWJWvKNw,Customer company learn,Metal
record_dOCtCgHp,Whose hand sense Democrat,Country
record_vbD9l7eE,Site early,Electronic
record_VV4R9_wB,Nor effort,Blues
record_ERH0sJ1O,Most American account,Funk
record_rPYt48JE,Least lot,Jazz
record_T32yKmfv,Write many,Hip-Hop
record_MnlYo1eZ,Nothing ten economic,Funk
record_oMQbiGig,Stand step,Folk
record_LszDqsaI,Analysis language,Punk
record_R5qYYpvm,Task,Funk
record_L_00f-J8,Garden approach,Hip-Hop
record_qALpui__,Old put,Disco
record_O02oVGfH,Chance much,R&B
record_iGFRrzTx,Low bar usually,Country
record_XKWqxukP,Wait more attention,Folk
record_uCe-y_u7,College specific science,Techno
record_U0EqSeUV,Represent ground,R&B
record_Qwlkk_ME,Marriage action,Latin
record_JHtozzeT,Idea discussion them social,Latin
record_jv0_Jem9,Others tax,Disco
record_CtcAdJ2f,Beat major,Gospel
record_2_9Eojq-,Can think,Latin
record_bVh9ilOP,Before here trip,Soul
record_t-e4Ih32,Several Democrat offer team,Reggae
record_vK-5smIw,Player sit,Indie
record_7sH54res,Anyone tonight employee,Hip-Hop
record_l_oPgVCt,Republican agency which building,Classical
record_x70SD1XJ,Discussion security skin,Disco
record_6W2b3-Jk,Small century stop,Gospel
record_SWP6D7DK,Pay all culture,Pop
record_bpGqHa4V,Standard treatment say last,Metal
record_TEbSVHQz,Thank option,Soul
record_1Jv2T-Vc,Scene whole send,R&B
record_Qng-jMTw,Project network eat,R&B
record_eN_mQBar,Old protect activity,Techno
record_ZoF6Vyig,Practice tend,Classical
record_sqqMQIFt,Site mission record maintain,Disco
record_cKAUz0AD,Everything whom alone,Gospel
record_JdDMruZu,Remain skin,Techno
record_sxdSQlh4,Born generation heavy,Hip-Hop
record_hFnq1a56,Professor city seek,Latin
record_BOPw4Zjs,View,Rock
record_ShCrM-QE,Make nice change,Soul
record_3CyvbJlS,Degree young discussion,Metal
record_dxzIQhRz,Area let cost,Soul
record_lk1H_v60,Everything relationship network,Blues
record_dKPETEe4,Decade thus,R&B
record__yq2ctcM,Girl usually four,Latin
record_aHIQce7m,Stage much of,Electronic
record_ENV2R0gn,Along their,Reggae
record_wgWKwpkv,Want PM,Punk
record_G8KFREwk,Child west everybody,Folk
record_7HxgaRCm,Office issue,R&B
record_DCKVwONd,Social condition,Folk
record_HKcjuozu,Old radio,Folk
record_aCFyS5AB,Determine dark,Country
record_Z2v1IaDy,Nor both hard,Funk
record_-wSMPSLY,Child authority ability,Folk
record_RjVg7fPJ,Miss surface term,Rock
record_S_akrpTw,Throughout movie sort law,Punk
record_KtZHsumt,Save high growth,R&B
record_yTwiYKbI,Western fear,Reggae
record_vYflhkwj,Leave garden there experience,Reggae
record_y24hgf6B,Water property,Funk
record_PENKTQbe,Civil garden wind,Techno
record_ZffQvNEI,Employee green store,Pop
record_ze2E8xfK,Staff either,Jazz
record_z4aiwoUc,Third save,Classical
record_VBUHwkvv,Share painting hotel,Gospel
record_KflKb1sw,Of think officer mention,Punk
record_H7l5OW0r,By push,Reggae
record_g8NUC0lE,Too direction wife,Latin
record_bO0eAL6Y,Answer order firm,Blues
record_XWrKzA9z,Put office size,Soul
record_d4B1uN_i,Education eye say,R&B
record_CjRlWNPT,Accept laugh box,Rock
record_hCZraNo9,Resource best us,Pop
record_c1hc1DRB,Clear onto audience,Country
record_-pZ3zoq1,Skin environment coach,Gospel
record_amEZNhB4,Pull black beat social,Folk
record_sIs8cr8X,Artist could teach,Hip-Hop
record_ZBUdneYC,What chair,Indie
record_ryo3zhzK,Military public remember,Soul
record_qe_j16E4,Well place,Reggae
record_SbgA2XW3,Defense serious green,Blues
record_-TEMTD4t,Statement remember,Blues
record_XL5DBqhY,Good agency think,Techno
record_s-a1qZ3K,Though wish describe,Folk
record_83ghe-cb,Son deal,Indie
record_TidR6mr2,By site one,Jazz
record_4DPjXfsn,Sing at,Funk
record_tUrtXXFc,Look blood lay,Techno
record_YE0o1D-d,Lawyer run beautiful,Electronic
record_nu_BB6Z0,Participant front since price,Funk
record_pQzX7B18,Result guess for,Gospel
record_Svj2l6nR,Success example,Disco
record_y-Gd-o7d,Seat word,Latin
record_azDNjF_l,Single once,Blues
record_Vwffbuwm,Theory her bar,Pop
record_18jEpvxQ,And career,Rock
record_s88T0G9n,Region before,Techno
record_D6JE8d4b,Nearly staff east,Country
record__rjS126-,Whom,Gospel
record__-_KGS0-,Always home,R&B
record_hRVgMgGW,Herself car customer,Classical
record_LTymjFVe,Control consider,Techno
record_PMdxybQ0,Open test,Classical
record_gAX3goIj,Them before,Electronic
record_sZ7JRxTz,Quickly central reflect,Punk
record_BsrW4FEW,Student standard,Gospel
record_fZA_OuVB,Suffer goal near,Gospel
record_ivm-n6iM,Specific interview,Hip-Hop
record_0ZBVBTRl,Chair seven,Jazz
record_WthCGld5,Of,Reggae
record_j1NgN74o,Loss company specific,Indie
record_DWA9qbMn,Them now,Pop
record_fje5z99U,Issue tell cell,Country
record_fkoAdtWO,Leader natural,Latin
record_s2UkijFU,Teach value next,Folk
record_jLlrDkVX,Color information set,Electronic
record_bDZVtUNa,First throw,Disco
record_q19HxX6U,Individual not,Classical
record_WOwRw2Rs,Risk wish risk tough,Blues
record_pQDwHFxC,Myself mother join,Folk
record_qulHJd7A,Century,Soul
record_Y0ulDBpM,Shake watch trouble,Disco
record_Tev09T-n,First some,Punk
record_826Z_Xbv,Learn there,R&B
record_j9eGIXG2,Low low social,Soul
record_gkxLHfqv,Health after sister during,R&B
record_w8lfyQgL,Office ago name growth,Rock
record_1Svxi4qb,Candidate join protect,Disco
record_KX9SFBEB,Building specific,R&B
record_Ry2__gvZ,Any,Metal
record_FqU8Dchu,She fight attack,Soul
record_pAJ8a3gc,It final we,Techno
record_Pjn3q8Fs,Unit recently,Folk
record_YA3fWd6t,Meet and,Classical
record_Mcd8ZINi,Benefit him these,Gospel
record_bCEvgFLF,Land kid,Indie
record_I85m2tYj,Part paper pretty,Latin
record_RAYVPQbw,I truth,Soul
record_NmovzElw,Sometimes new time,Folk
record_OH56SN7p,Even carry wide,Techno
record_4tk9lipt,To experience enjoy,Hip-Hop
record_fdmFzIXE,Even,Blues
record_e6fv6F2s,Participant reflect,Funk
record_KmIgPLrD,Evidence choose,Latin
record_MxDviJag,Program task believe break,Blues
record_UEPNm_-p,Western movie,Jazz
record_jvU-OZgi,Newspaper book,Techno
record_pfjQOE8-,Throw determine her,Soul
record_BWU6BRM2,Tree newspaper recent,Funk
record_-aynAdc3,Dream six,Folk
record_yUy5dsL6,Those maintain,Funk
record_ZKLqfhT7,Education ok detail,Gospel
record_FblcS2Oq,Lawyer off,Funk
record_Gf0T2_RW,Property your,Disco
record_j89LSxhR,Rich answer we,Folk
record_R4PCyaTv,Reduce,Electronic
record_COnuIL4-,Green wife glass,Funk
record_v-2ntDZO,Ground sign,Soul
record_Ck3Mu2WC,Discover fast,Disco
record_-4px5oXh,Forward score matter,Soul
record_aTsMVTVF,Ask woman student,Pop
record_fAJu4_Ym,Them when appear,R&B
record_5xHH8Kki,Month close near,Indie
record_74WS_giE,Money always,Gospel
record_F1ZcnVTG,Attention miss,R&B
record_ycvpGkO-,Wide down data,Pop
record_bJgHRTIp,Include night,Punk
record_-MCCEGwI,Serious find letter,Folk
record_QEwyVeN3,Something citizen provide,Soul
record_xYIorZRQ,Conference family,Hip-Hop
record_C0v8J9CX,Past again few focus,Pop
record_HOJ3dWbX,Phone,Jazz
record_74uVVgO9,Mean PM,Blues
record_94kUyApo,Relate,Folk
record_tA1RrNt5,Nothing road,Punk
record_F8po9-Sl,Director,Gospel
record_RIOKpZlM,Leave child might,Disco
record_svoJGLeR,Himself hospital car,Reggae
record_pv1-AmWk,She nearly,Disco
record_mlRD6A6A,Speak political few,Funk
record_mp6CxlC-,Partner debate require,Blues
record_tJyxSLCT,Pull coach,Reggae
record_LF7qA1Hn,Might tax,Jazz
record_K2A9QNej,Southern card,Soul
record_kNzxgADO,Head,Jazz
record_eg1yrTm7,Real growth,Punk
record_fdeEp7eJ,Full environmental,Funk
record_0eUntaps,Give put per,Punk
record_0wzc_NUF,Before economy near,Funk
record_gRGHqV7e,Lose research,Pop
record_xorS3Tbs,Need seek benefit,Country
record_G1bsOR6U,Kind according so remain,Disco
record_W9xtIHK9,Political technology,Classical
record_Vt_nBUHG,Be sign hair,Techno
record_jXgtHbj_,Really his,Rock
record_kWOMjtW-,Nation strong,Gospel
record_Sz65aOyD,Other approach blood,Indie
record_XDJiJIn7,Near yard,Punk
record_CW6LDHJ1,Clearly however main,Rock
record_wJjuR9NW,Collection city service,R&B
record_x-gskZP6,Central sea,Reggae
record_asaUll7h,Phone mind him,R&B
record_POwS-cNP,Special,Gospel
record_jsVkBUAZ,Management ahead pretty,R&B
record_KLaHkqa6,Wall party building,Soul
record_iTL30RxC,Administration plan,Metal
record_3B29FD14,Would determine,Soul
record_mcKqko9J,Fund ability,Electronic
record_BbT_seo0,Member claim everyone,Hip-Hop
record_Yt-0CYHY,Yard address,Blues
record_HfVRbpF_,Mr brother,Country
record_XVBGfEp6,Nation start,Techno
record_so84XuCo,Own performance,Jazz
record_jLN3CRL3,Customer radio sea,Techno
record_9PGDade0,Bring official,Gospel
record_qVeE1_wk,Win consumer site,Techno
record_coilRiOs,Claim century discussion,Rock
record_2EHblm_v,Argue we,Techno
record_erAEdDI4,Leg know fine,Hip-Hop
record_C5fDlgmu,Make pressure,Soul
record_V3xj58lo,Black son since bad,R&B
record_0w1XVF_t,Foot determine,Punk
record_LEHUSb8E,Shoulder now research item,Funk
record_-izyuEN6,Really great,Electronic
record_1--NEqTZ,Pressure grow drug,Techno
record_HsmaRoR7,Fire during would especially,Metal
record__Q0eaQMV,Alone relationship by,Classical
record_eHRBDBl9,Two travel even,Rock
record_OM62aOIw,National red,Gospel
record_Wm6m7ORA,Material bank assume leave,Disco
record_ReqMz9US,Change adult,Indie
record_ueL2W_La,Miss student,Funk
record_G1Ovj8Wu,Place condition success,Funk
record_Mf0tkyO3,Across easy oil,Indie
record_V-L1nUtj,Right service,Gospel
record_6tgU3Wpc,Not,Latin
record_FiDnHK7F,They society,R&B
record_IstdDayD,Would feeling,Soul
record_MSHtNwRp,Husband her any,Electronic
record_phRbcVQD,Either send order,R&B
record_JgeO4SGg,Finally necessary east,Jazz
record_2JQfmjkW,Sound wait,Classical
record_Nv8MHnmq,Claim child,Pop
record_YLrxK0cL,Fish foreign card,Folk
record_XXzIYSmv,Either pass,Soul
record_yrn_lx48,Candidate source,Gospel
record_5pISS_Um,Design fall,Blues
record_l-b-8dir,Stop watch different,Indie
record_0y4Gn7si,Yeah include view sure,Electronic
record_JWh_mrEP,Rise hear,Punk
record_XjLH4s0h,Rock,Hip-Hop
record_Kr7-MHRX,Black movement,R&B
record_apsJqFY5,Build forward,Electronic
record_XNkows4y,Necessary soldier,Soul
record_f4kw4aLT,Official bed,Metal
record_AxmR6brO,Sign partner enter,Jazz
record_kSYM1AUY,Writer,Techno
record_4lEYumiA,Personal do physical,Classical
record_As7kM6Cc,Enough main nearly,R&B
record_0pBrEKo2,Option,Folk
record_qO33zGBN,Method some,Gospel
record_qARtu3Xg,Those spring baby,Electronic
record_0GFYkvyW,Cause she customer,Classical
record_X95-IH5K,Area long investment,Classical
record_BFbD8ciG,Part,Gospel
record_HQmIO6Qr,Sit cell deep,Electronic
record_wnwe5LLi,Everything media,Latin
record_9NgLmVsi,Describe play,Gospel
record_TsIy5buf,Itself camera upon,Punk
record_63jkVCsF,Across,Soul
record_ZIeWCPP4,Interesting ability,Punk
record_zIe-VE5K,Than then near,Punk
record_vwSjx1ay,Her,Funk
record_DC9Ggd9E,Technology,Reggae
record_8xyzlUWa,Data,Reggae
record_hca0JpZ2,Candidate down third,Metal
record_0O4A1uPH,Study fact tend,Funk
record_Q99mDPk4,Gas risk,Techno
